FID,OBJECTID,Comment,YEAR_BUILT,PORTS,PRIVATE,LAT,LONG,ELEV,Hydrant_Ty,Address_Nu,Street_Nam,Repairs_Ne,Last_Maint,Maintained,PSI,POINT_X,POINT_Y,POINT_Z,POINT_M
277,278, ,1990,3,N,45.530818372799999,-122.377378299000000,31.385821747400001,Muller SC,1221.000000000000000,EVANS,Replace Reflector,5/21/2014 0:00:00,Y,100,7721030.039610000327229,685209.572289000032470,31.385800000000000,0.000000000000000
278,279,needs paint,1989,3,N,45.529689138999998,-122.376659513000007,31.166281354399999,Muller SC,1600.000000000000000,EVANS,Replace Reflector,5/21/2014 0:00:00,Y,105,7721204.624239999800920,684793.677123000030406,0.000000000000000,0.000000000000000
279,280, ,1978,3,N,45.529020552799999,-122.376532703999999,31.677655718000000,Dresser 500,1645.000000000000000,LEWELLYN,Need Paint,5/21/2014 0:00:00,Y,100,7721231.450629999861121,684549.216653999988921,31.677700000000002,0.000000000000000
280,281,needs reflector,1978,3,N,45.527037872900003,-122.375798083000006,33.456351920600000,Dresser 500,1348.000000000000000,19TH,Need Paint,5/15/2014 0:00:00,Y,90,7721402.878440000116825,683822.140023999963887,33.456400000000002,0.000000000000000
281,282, ,1978,3,N,45.525972550799999,-122.376701886999996,34.088817599300000,Dresser 500,1306.000000000000000,21ST,Need Paint,4/18/2014 0:00:00,Y,90,7721162.224720000289381,683439.130619999952614,34.088799999999999,0.000000000000000
282,283, ,1977,3,N,45.524701421200000,-122.377749292000004,34.495971455000003,Dresser 500,2315.000000000000000,HUDSON,Need Paint,4/18/2014 0:00:00,Y,95,7720883.093709999695420,682982.029499999945983,34.496000000000002,0.000000000000000
283,284,needs orings,1977,3,N,45.522459228999999,-122.376768650000002,36.032390148099999,Pacific States,2621.000000000000000,HICKLIN,Need Paint,4/18/2014 0:00:00,Y,90,7721115.433140000328422,682158.960935999988578,36.032400000000003,0.000000000000000
284,285,needs o rings,1977,3,N,45.520283118499997,-122.377977448999999,41.443222512600002,Pacific States,2922.000000000000000,EVANS,Need Paint,4/18/2014 0:00:00,Y,80,7720787.260900000110269,681372.949385000043549,41.443199999999997,0.000000000000000
285,286, ,1992,3,N,45.519635371400000,-122.380524082999997,44.965443862100003,Muller SC,963.000000000000000,30TH,Need Paint,4/18/2014 0:00:00,Y,80,7720129.214970000088215,681152.022005000035278,44.965400000000002,0.000000000000000
286,287, ,1991,3,N,45.520355466200002,-122.379561436000003,42.970544157399999,Muller SC,2844.000000000000000,CHANDLER,Need Paint,4/18/2014 0:00:00,Y,90,7720381.993669999763370,681408.760993000003509,42.970500000000001,0.000000000000000
287,288, ,1992,3,N,45.521693414200001,-122.379789524000003,40.412755717000003,Muller SC,2709.000000000000000,CHANDLER,Need Paint,4/18/2014 0:00:00,Y,90,7720334.897959999740124,681897.813821000047028,40.412799999999997,0.000000000000000
288,289, ,1977,3,N,45.524705107499997,-122.380074081000004,34.895553880700000,Dresser 500,2310.000000000000000,EVANS,Need Paint,4/18/2014 0:00:00,Y,100,7720287.183159999549389,682997.818181999959052,34.895600000000002,0.000000000000000
289,290, ,1978,3,N,45.526275326899999,-122.379621219000001,33.616173152499996,Dresser 500,1006.000000000000000,22ND,Need Paint,4/18/2014 0:00:00,Y,90,7720416.886640000157058,683566.955166999949142,33.616199999999999,0.000000000000000
290,291,needs  reflector,1978,3,N,45.527150665299999,-122.377785911999993,32.782726406000002,Dresser 500,2002.000000000000000,EVANS,O-Rings,5/15/2014 0:00:00,Y,85,7720894.464750000275671,683875.018527999985963,32.782699999999998,0.000000000000000
291,292, ,1990,3,N,45.516440755799998,-122.375643934999999,50.998521340000003,Muller SC,1424.000000000000000,35TH,Need Paint,4/17/2014 0:00:00,Y,75,7721352.679390000179410,679958.484037999995053,50.998500000000000,0.000000000000000
292,293,needs oring,1973,3,N,45.516670892400001,-122.376675133000006,52.255745070499998,Iowa,3390.000000000000000,PELTON,Need Paint,4/17/2014 0:00:00,Y,75,7721090.307540000416338,680048.439567000023089,52.255699999999997,0.000000000000000
293,294,needs leathers,1973,3,N,45.515856863600000,-122.376923474999998,51.750670432600003,Iowa,1249.000000000000000,35TH,Need Paint,4/16/2014 0:00:00,Y,75,7721019.842129999771714,679753.266929000033997,51.750700000000002,0.000000000000000
294,295,needs 12in ext needs o rings,1973,3,N,45.515113879700003,-122.377191725000003,54.017782689900002,Iowa,3600.000000000000000,PELTON,Need Paint,4/16/2014 0:00:00,Y,65,7720944.737949999980628,679483.972192000015639,54.017800000000001,0.000000000000000
295,296,needs paint,1973,3,N,45.515145658000002,-122.378382341999995,53.424706113100001,Iowa,3600.000000000000000,HELEN,O-Rings,4/17/2014 0:00:00,Y,65,7720639.945580000057817,679503.504304999951273,0.000000000000000,0.000000000000000
296,297, ,1973,3,N,45.513688049099997,-122.378354771000005,58.673413717000003,Iowa,3820.000000000000000,PELTON,Need Paint,4/16/2014 0:00:00,Y,65,7720634.674920000135899,678971.243557999958284,58.673400000000001,0.000000000000000
297,298, ,1989,3,N,45.517279493099998,-122.380457469000007,48.323339182100000,Clow 2500,900.000000000000000,33RD,Need Paint,4/17/2014 0:00:00,Y,70,7720125.684139999561012,680292.866899000015110,0.000000000000000,0.000000000000000
298,299, ,1989,3,N,45.517745845199997,-122.381990493000004,48.271634042300001,Clow 2500,730.000000000000000,33RD,Need Paint,4/17/2014 0:00:00,Y,75,7719737.057289999909699,680472.249414999969304,48.271599999999999,0.000000000000000
299,300, ,1989,3,N,45.516903663100003,-122.381912517999993,49.061521476099998,Clow 2500,3475.000000000000000,BLAKE,Need Paint,4/17/2014 0:00:00,Y,75,7719750.240340000018477,680164.579426000011154,49.061500000000002,0.000000000000000
300,301, ,1977,3,N,45.517960889699999,-122.383033498000003,48.392966978600001,Dresser 500,3214.000000000000000,STOTT,Need Paint,4/16/2014 0:00:00,Y,80,7719471.939709999598563,680557.157052999944426,0.000000000000000,0.000000000000000
301,302,needs paint,1977,3,N,45.518886840999997,-122.382879458999994,46.779924149599999,Dresser 500,3134.000000000000000,STOTT,Hydrant Spun,4/17/2014 0:00:00,Y,75,7719519.357920000329614,680893.478887000004761,46.779899999999998,0.000000000000000
302,303, ,2012,3,N,45.517543976500001,-122.387045303999997,48.509415390400001,Muller SC,0.000000000000000,TROUTDALE, ,4/16/2014 0:00:00,Y,75,7718440.323010000400245,680428.594974000006914,0.000000000000000,0.000000000000000
303,304, ,1972,3,N,45.514414636500000,-122.387125502000004,58.328830408899996,Pacific States,0.000000000000000,TROUTDALE,Need Paint,4/15/2014 0:00:00,Y,60,7718393.123630000278354,679288.409590999945067,0.000000000000000,0.000000000000000
304,305,way hard to turn needs new seat rubber off,1992,3,N,45.510232787900001,-122.386153168000007,71.405124226400005,Waterous 67,0.000000000000000,SWEETBRIAR,Need Paint,4/15/2014 0:00:00,Y,80,7718606.775100000202656,677758.348018000018783,0.000000000000000,0.000000000000000
305,306,needs vacced,2009,3,N,45.510393295800000,-122.382220434999994,68.217969819399997,Waterous 67,0.000000000000000,SWEETBRIAR,Need Paint,4/14/2014 0:00:00,Y,80,7719614.055569999851286,677792.985416000010446,0.000000000000000,0.000000000000000
306,307, ,2007,3,N,45.510205665999997,-122.382050434000007,68.030446542299998,Clow,4400.000000000000000,JONES,Need Paint,4/14/2014 0:00:00,Y,80,7719658.005280000157654,677723.958322999998927,68.030400000000000,0.000000000000000
307,308,needs paint,1997,3,N,45.509097340200000,-122.380811155000004,70.174648245499995,Waterous 67,4426.000000000000000,SWEETBRIAR,Replace Reflector,4/14/2014 0:00:00,Y,80,7719960.117870000191033,677313.338738000020385,0.000000000000000,0.000000000000000
308,309, ,1990,3,N,45.511207309800000,-122.380111185999993,60.002066378599999,Waterous 67,4335.000000000000000,SWEETBRIAR,Need Paint,4/14/2014 0:00:00,Y,90,7720163.512149999849498,678077.468442999990657,60.002099999999999,0.000000000000000
309,310, ,1991,3,N,45.511510065000003,-122.381782236000006,64.865373970099995,Waterous 67,772.000000000000000,42ND,Need Paint,4/14/2014 0:00:00,Y,90,7719737.825009999796748,678197.797270999988541,64.865399999999994,0.000000000000000
310,311, ,1991,3,N,45.511478754700001,-122.383954529999997,67.033190590000004,Waterous 67,536.000000000000000,42ND,Need Paint,4/15/2014 0:00:00,Y,80,7719180.776580000296235,678199.292018000036478,67.033199999999994,0.000000000000000
311,312, ,1990,3,N,45.510958059600000,-122.382406617000001,64.678400871700006,Waterous 67,646.000000000000000,43RD,Need Paint,4/14/2014 0:00:00,Y,85,7719573.120280000381172,678000.315709999995306,0.000000000000000,0.000000000000000
312,313, ,1990,3,N,45.510742405199998,-122.383618296999998,69.343993055599995,Waterous 67,546.000000000000000,43RD,Need Paint,4/15/2014 0:00:00,Y,80,7719260.433240000158548,677928.947414999944158,69.343999999999994,0.000000000000000
313,314, ,1989,3,N,45.511186480299997,-122.385403502000003,69.159184433199997,Clow 2500,4259.000000000000000,JENNIFER,Need Paint,4/15/2014 0:00:00,Y,77,7718807.016830000095069,678101.489392000017688,69.159199999999998,0.000000000000000
314,315,needs reflected  needs paint,1972,3,N,45.512985797600003,-122.385493159000006,62.035248914900002,Pacific States,4002.000000000000000,KIBLING,O-Rings,4/15/2014 0:00:00,Y,40,7718799.511269999668002,678757.913275999948382,62.035200000000003,0.000000000000000
315,316,needs  six extension needs o-rings,1972,3,N,45.512610071600001,-122.383977268999999,60.930091570000002,Pacific States,4014.000000000000000,KNARR,Need Paint,4/15/2014 0:00:00,Y,45,7719184.566929999738932,678611.800707999966107,60.930100000000003,0.000000000000000
